DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,13.64032209,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,14.71346542,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,14.24336696,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,12.42824337,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MHL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,25.148,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MHL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,26.108,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MHL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,25.624,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MHL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,26.4,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VNM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,16.833,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VNM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,18.803,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VNM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,18.206,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),VNM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,17.672,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MOZ,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,20.67586272,A,0,TOTALTAX,1,_Z
