tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Biersteuer,Beer duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: alcohol/tobacco.,562000000,0.013054,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C11; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
sonstige Verbrauchsteuern,Other excise duty,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption.,3000000,0.000070,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C12; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Förderzahlungen nach KWKG,,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,929000000,0.021578,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C16; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Förderzahlungen Offshore-Netzumlage,,Eurostat National Tax Lists line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,2186000000,0.050775,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C17; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Grunderwerbsteuer,,Eurostat National Tax Lists line classified as ESA code D214B. Economic function: capital/stock of wealth. Environmental/property tag: other property.,12750000000,0.296147,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214B; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Sonstige Vergnügungsteuer,,Eurostat National Tax Lists line classified as ESA code D214E. Economic function: consumption.,900000000,0.020904,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214E; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Rennwett-Lotteriesteuer,,Eurostat National Tax Lists line classified as ESA code D214F. Economic function: consumption.,2485000000,0.057720,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214F; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Spielbankabgabe,,Eurostat National Tax Lists line classified as ESA code D214F. Economic function: consumption.,596000000,0.013843,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214F; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Versicherungsteuer,,Eurostat National Tax Lists line classified as ESA code D214G. Economic function: consumption.,18318000000,0.425476,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214G; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Feuerschutzsteuer,,Eurostat National Tax Lists line classified as ESA code D214G. Economic function: consumption.,724000000,0.016816,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214G; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Luftverkehrsteuer,,Eurostat National Tax Lists line classified as ESA code D214H. Economic function: consumption. Environmental/property tag: transport.,1877000000,0.043597,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214H; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Beitrag zum Erdölbevorratungsverband,,Eurostat National Tax Lists line classified as ESA code D214I. Economic function: consumption. Environmental/property tag: energy.,256000000,0.005946,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214I; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
übrige Gemeindesteuern,,Eurostat National Tax Lists line classified as ESA code D214L. Economic function: consumption.,569000000,0.013216,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214L; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
